"association","From Connection","To Connection","From Object","To Object"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/party_broker_hashnk","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/party_broker_hashnk"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/party_broker_hashfull","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/party_broker_hashfull"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_data_source_ind","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_data_source_ind"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_static_nme","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_static_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_static_nme_cd","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_static_nme_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_nme","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_duns_nbr","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_duns_nbr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_pseudo_duns_nbr","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_pseudo_duns_nbr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/l_broker_duns_nbr","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/l_broker_duns_nbr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/l_broker_pseudo_duns_nbr","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/l_broker_pseudo_duns_nbr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_activity_code","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_activity_code"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_ultimate_parent_duns_nbr","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_ultimate_parent_duns_nbr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_ultimate_parent_nme","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_ultimate_parent_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/broker_grp_nme","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/broker_grp_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/dw_row_start_dt","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/dw_row_start_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/dw_row_end_dt","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/dw_row_end_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_party_broker/dw_batch_id","policy_asset/bv_sz_dw_xle_t_d_xle_party_broker/dw_batch_id"
